rsvp_no,time,institution,status
1,2019-03-07 16:58:00,Non-academic Institution,Attending
2,2019-03-14 19:11:00,Other,Attending
3,2019-03-18 14:28:00,Non-academic Institution,Attending
4,2019-03-19 16:33:00,CUNY,Checked In
5,2019-03-19 16:45:00,CUNY,Checked In
6,2019-03-20 12:58:00,CUNY,Attending
7,2019-03-24 23:46:00,CUNY,Attending
8,2019-03-24 23:48:00,CUNY,Attending
9,2019-03-25 07:25:00,CUNY,Checked In
10,2019-03-25 09:05:00,Non-academic Institution,Attending
11,2019-03-25 09:06:00,Mount Sinai,Checked In
12,2019-03-25 09:06:00,Columbia,Checked In
13,2019-03-25 09:06:00,Mount Sinai,Checked In
14,2019-03-25 09:08:00,CUNY,Checked In
15,2019-03-25 09:08:00,Einstein,Checked In
16,2019-03-25 09:09:00,Non-academic Institution,Attending
17,2019-03-25 09:11:00,Einstein,Checked In
18,2019-03-25 09:12:00,CUNY,Attending
19,2019-03-25 09:14:00,Other,Attending
20,2019-03-25 09:16:00,CUNY,Attending
21,2019-03-25 09:16:00,NYU,Checked In
22,2019-03-25 09:18:00,Mount Sinai,Attending
23,2019-03-25 09:20:00,Columbia,Attending
24,2019-03-25 09:22:00,Einstein,Checked In
25,2019-03-25 09:24:00,CUNY,Checked In
26,2019-03-25 09:36:00,Mount Sinai,Checked In
27,2019-03-25 09:39:00,NYU,Attending
28,2019-03-25 09:42:00,Einstein,Checked In
29,2019-03-25 09:54:00,Columbia,Attending
30,2019-03-25 09:59:00,Einstein,Checked In
31,2019-03-25 10:08:00,MSKCC,Checked In
32,2019-03-25 10:15:00,Mount Sinai,Attending
33,2019-03-25 10:21:00,NYU,Attending
34,2019-03-25 10:26:00,Mount Sinai,Checked In
35,2019-03-25 10:30:00,NYU,Attending
36,2019-03-25 10:46:00,NYU,Attending
37,2019-03-25 10:46:00,NYU,Attending
38,2019-03-25 10:56:00,Columbia,Attending
39,2019-03-25 10:56:00,NYU,Attending
40,2019-03-25 10:56:00,Mount Sinai,Checked In
